"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","T1u","","","","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"C2","1","T1U","","","","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"C3","1","0.01U","","","","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"C4","1","C1u","","","","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"D1,D2","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~"
"J1","1","Conn_01x02_Pin","","","","Connector:JWT_A3963_1x02_P3.96mm_Vertical","~"
"J2,J3,J4","3","Conn_01x03_Pin","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"R1","1","240","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
"R2,R3,R4,R5,R6","5","150K","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
"R7","1","1K","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
"R8,R9","2","80.6K","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
"U1","1","AD8226","","","","footprints:AD8286",""
"U2","1","TL084","","","","footprints:N14","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"VR1","1","3296W-1-250","","","","footprints:TRIM",""
