Ref,Val,Package,PosX,PosY,Rot,Side
"R1","240","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",162.440000,-93.070000,-90.000000,top
"R2","150K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",143.560000,-90.940000,90.000000,top
"R3","150K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",143.610000,-83.430000,90.000000,top
"R4","150K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",147.690000,-90.940000,-90.000000,top
"R5","150K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",168.590000,-84.850000,90.000000,top
"R6","150K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",165.260000,-84.840000,-90.000000,top
"R7","1K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",147.690000,-83.380000,90.000000,top
"R8","80.6K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",161.570000,-84.810000,90.000000,top
"R9","80.6K","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",162.680000,-74.460000,90.000000,top
"U1","AD8226","AD8286",168.920000,-93.030000,0.000000,top
